depth,blueshift,sigma
0.667,-213.8612847503607,261.4095862993314
0.668,-213.0830897241305,261.53048353828314
0.669,-212.302598912046,261.6489285912848
0.67,-211.51980779577718,261.76490490964466
0.671,-210.73471185699185,261.87839594467107
0.672,-209.94730657735988,261.98938514767224
0.673,-209.15758743854985,262.09785596995675
0.674,-208.36554992223103,262.2037918628324
0.675,-207.57118951007214,262.30717627760777
0.676,-206.77450168374213,262.40799266559105
0.677,-205.97548192491013,262.50622447809064
0.678,-205.1741257152451,262.6018551664148
0.679,-204.37042853641663,262.6948681818718
0.68,-203.5643858700925,262.78524697577
0.681,-202.75599319794196,262.8729749994176
0.682,-201.9452460016347,262.9580357041231
0.683,-201.13213976283924,263.0404125411945
0.684,-200.31666996322457,263.12008896194016
0.685,-199.49883208445988,263.19704841766855
0.686,-198.67862160821358,263.27127435968777
0.687,-197.85603401615538,263.3427502393062
0.688,-197.03106478995323,263.41145950783215
0.689,-196.2037094112777,263.47738561657417
0.69,-195.37396336179677,263.54051201684
0.691,-194.5418221231791,263.6008221599382
0.692,-193.7072811770945,263.65829949717715
0.693,-192.87033600521153,263.712927479865
0.694,-192.0309820891992,263.7646895593102
0.695,-191.18921491072638,263.813569186821
0.696,-190.34502995146227,263.85954981370577
0.697,-189.49842269307624,263.9026148912724
0.698,-188.64938861723664,263.9427478708298
0.699,-187.797923205612,263.97993220368573
0.7,-186.9440219398722,264.0141513411487
0.701,-186.08768030168574,264.045388734527
0.702,-185.22889377272202,264.073627835129
0.703,-184.36765783464938,264.09885209426284
0.704,-183.50396796913776,264.12104496323695
0.705,-182.63781965785512,264.1401898933597
0.706,-181.76920838247116,264.15627033593915
0.707,-180.89812962465464,264.16926974228363
0.708,-180.0245788660743,264.1791715637015
0.709,-179.14855158839936,264.18595925150106
0.71,-178.2700432732987,264.1896162569907
0.711,-177.38904940244157,264.1901260314785
0.712,-176.50556545749652,264.1874720262731
0.713,-175.6195869201331,264.1816376926824
0.714,-174.73110927202015,264.1726064820149
0.715,-173.84012799482616,264.16036184557873
0.716,-172.94663857022005,264.14488723468236
0.717,-172.0506364798715,264.12616610063407
0.718,-171.15211720544897,264.104181894742
0.719,-170.25107622862163,264.0789180683147
0.72,-169.34750903105845,264.05035807266023
0.721,-168.4414110944286,264.01848535908726
0.722,-167.53277790040073,263.98328337890354
0.723,-166.62160493064385,263.94473558341764
0.724,-165.70788766682716,263.9028254239379
0.725,-164.7916215906195,263.85753635177247
0.726,-163.87280218368994,263.80885181822975
0.727,-162.9514249277073,263.75675527461806
0.728,-162.02748530434081,263.70123017224586
0.729,-161.10097879525904,263.64225996242095
0.73,-160.17190088213164,263.579828096452
0.731,-159.24024704662747,263.5139180256472
0.732,-158.30601277041484,263.44451320131486
0.733,-157.36919353516265,263.3715970747632
0.734,-156.4297848225408,263.2951530973006
0.735,-155.48778211421785,263.2151647202354
0.736,-154.5431808918628,263.1316153948758
0.737,-153.5959766371443,263.0444885725303
0.738,-152.64616483173148,262.9537677045069
0.739,-151.69374095729387,262.859436242114
0.74,-150.73870049549987,262.7614776366599
0.741,-149.78103892801886,262.6598753394528
0.742,-148.82075173651907,262.5546128018012
0.743,-147.8578344026704,262.4456734750133
0.744,-146.89228240814117,262.3330408103976
0.745,-145.92409123460095,262.216698259262
0.746,-144.9532563637183,262.09662927291487
0.747,-143.97977327716205,261.97281730266474
0.748,-143.00363745660167,261.8452457998197
0.749,-142.02484438370624,261.71389821568823
0.75,-141.04338954014406,261.57875800157836
0.751,-140.05926840758428,261.43980860879867
0.752,-139.07247646769605,261.29703348865723
0.753,-138.08300920214845,261.1504160924627
0.754,-137.09086209261054,260.9999398715229
0.755,-136.09603062075078,260.84558827714625
0.756,-135.0985102682388,260.6873447606411
0.757,-134.09829651674295,260.5251927733159
0.758,-133.0953848479327,260.35911576647874
0.759,-132.08977074347675,260.1890971914379
0.76,-131.08144968504448,260.01512049950213
0.761,-130.07041715430404,259.8371691419791
0.762,-129.05666863292564,259.6552265701773
0.763,-128.04019960257747,259.46927623540506
0.764,-127.02100554492827,259.2793015889708
0.765,-125.99908194164774,259.0852860821826
0.766,-124.97442427440467,258.88721316634906
0.767,-123.9470280248674,258.6850662927781
0.768,-122.91688867470572,258.4788289127782
0.769,-121.88400170558779,258.268484477658
0.77,-120.84836259918356,258.0540164387251
0.771,-119.80996683716103,257.83540824728817
0.772,-118.76880990118991,257.6126433546554
0.773,-117.72488727293913,257.3857052121353
0.774,-116.67819443407708,257.15457727103586
0.775,-115.62872686627352,256.91924298266565
0.776,-114.57648005119654,256.6796857983331
0.777,-113.52144947051613,256.43588916934596
0.778,-112.46363060590085,256.1878365470128
0.779,-111.40301893901918,255.93551138264195
0.78,-110.33960995154067,255.6788971275417
0.781,-109.27339912513426,255.41797723302034
0.782,-108.20438194146882,255.1527351503861
0.783,-107.13255388221407,254.88315433094743
0.784,-106.05791042903743,254.60921822601276
0.785,-104.98044706360855,254.33091028688986
0.786,-103.90015926759725,254.04821396488728
0.787,-102.81704252267107,253.7611127113134
0.788,-101.73109231050034,253.4695899774764
0.789,-100.6423041127531,253.1736292146847
0.79,-99.55067341109878,252.8732138742465
0.791,-98.45619568720622,252.56832740747006
0.792,-97.35886642274463,252.2589532656641
0.793,-96.25868109938256,251.94507490013626
0.794,-95.15563519878947,251.6266757621951
0.795,-94.04972420263417,251.30373930314897
0.796,-92.94094359258523,250.97624897430615
0.797,-91.82928885031228,250.64418822697485
0.798,-90.71475545748416,250.3075405124635
0.799,-89.59733889576941,249.9662892820806
0.8,-88.4770346468371,249.6204179871339
0.801,-87.35383819235759,249.26991007893204
0.802,-86.22774501399769,248.91474900878316
0.803,-85.09875059342721,248.55491822799559
0.804,-83.96685041231592,248.19040118787774
0.805,-82.83203995233157,247.8211813397378
0.806,-81.69431469514387,247.4472421348841
0.807,-80.55367012242158,247.0685670246249
0.808,-79.41010171583457,246.68513946026889
0.809,-78.26360495705015,246.29694289312368
0.81,-77.11417532773828,245.90396077449788
0.811,-75.96180830956854,245.50617655569982
0.812,-74.80649938420845,245.10357368803776
0.813,-73.64824403332727,244.69613562281995
0.814,-72.487037738595,244.28384581135475
0.815,-71.32287598168094,243.86668770495078
0.816,-70.15575424425228,243.44464475491569
0.817,-68.98566800797914,243.01770041255804
0.818,-67.81261275453122,242.58583812918627
0.819,-66.63658396557554,242.14904135610848
0.82,-65.45757712278234,241.70729354463305
0.821,-64.27558770782076,241.2605781460683
0.822,-63.090611202358815,240.80887861172243
0.823,-61.9026430880659,240.35217839290416
0.824,-60.71167884661145,239.89046094092112
0.825,-59.51771395966489,239.42370970708188
0.826,-58.32074390889369,238.95190814269483
0.827,-57.12076417596714,238.47503969906816
0.828,-55.91777024255612,237.9930878275102
0.829,-54.711757590327096,237.50603597932925
0.83,-53.5027217009503,237.01386760583358
0.831,-52.290658056094514,236.5165661583319
0.832,-51.07556213742956,236.01411508813177
0.833,-49.85742942662267,235.5064978465418
0.834,-48.636255405344,234.99369788487033
0.835,-47.41203555526289,234.47569865442557
0.836,-46.184765358047684,233.95248360651607
0.837,-44.954440295366766,233.42403619244982
0.838,-43.72105584889056,232.89033986353522
0.839,-42.48460750028647,232.3513780710809
0.84,-41.24509073122445,231.80713426639446
0.841,-40.00250102337364,231.2575919007846
0.842,-38.756833858402246,230.70273442555956
0.843,-37.50808471797964,230.14254529202768
0.844,-36.25624908377489,229.5770079514972
0.845,-35.001322437457475,229.00610585527642
0.846,-33.74330026069504,228.4298224546737
0.847,-32.4821780351576,227.8481412009976
0.848,-31.21795124251406,227.2610455455558
0.849,-29.95061536443353,226.66851893965685
0.85,-28.680165882584305,226.0705448346091
0.851,-27.406598278635315,225.46710668172082
0.852,-26.12990803425714,224.85818793230032
0.853,-24.85009063111727,224.24377203765607
0.854,-23.5671415508846,223.62384244909606
0.855,-22.28105627522902,222.99838261792902
0.856,-20.991830285818224,222.36737599546262
0.857,-19.699459064322127,221.73080603300548
0.858,-18.403938092410485,221.08865618186584
0.859,-17.105262851750595,220.44090989335206
0.86,-15.803428824011931,219.78755061877243
0.861,-14.498431490864107,219.1285618094352
0.862,-13.190266333976012,218.46392691664906
0.863,-11.878928835016012,217.7936293917216
0.864,-10.564414475653393,217.11765268596142
0.865,-9.246718737557785,216.43598025067686
0.866,-7.925837102396883,215.74859553717624
0.867,-6.601765051840573,215.05548199676775
0.868,-5.274498067557175,214.35662308075982
0.869,-3.944031631217271,213.6520022404606
0.87,-2.6103612244881162,212.94160292717868
0.871,-1.2734823290390977,212.2254085922223
0.872,0.06660957346012708,211.50340268689922
0.873,1.4099190013418905,210.77556866251814
0.874,2.7564504729363364,210.04188997038727
0.875,4.106208506573807,209.302350061815
0.876,5.4591976205868065,208.55693238810957
0.877,6.815422333305648,207.80562040057924
0.878,8.174887163061243,207.0483975505327
0.879,9.537596628184332,206.28524728927758
0.88,10.903555247006508,205.5161530681224
0.881,12.272767537858826,204.7410983383756
0.882,13.645238019071257,203.96006655134542
0.883,15.020971208976277,203.17304115834008
0.884,16.3999716259046,202.38000561066798
0.885,17.78224378818669,201.5809433596374
0.886,19.16779221415311,200.7758378565569
0.887,20.55662142213592,199.96467255273416
0.888,21.94873593046553,199.14743089947802
0.889,23.344140257472844,198.3240963480963
0.89,24.74283892149012,197.49465234989756
0.891,26.14483644084747,196.6590823561901
0.892,27.550137333875014,195.81736981828223
0.893,28.958746118905637,194.96949818748217
0.894,30.370667314269298,194.1154509150986
0.895,31.785905438296986,193.25521145243914
0.896,33.20446500931946,192.3887632508124
0.897,34.626350545668416,191.51608976152667
0.898,36.051566565675074,190.63717443589022
0.899,37.48011758766874,189.75200072521147
0.9,38.912008129982695,188.86055208079858
0.901,40.34724271094675,187.96281195396026
0.902,41.78582584889227,187.0587637960041
0.903,43.22776206214953,186.1483910582387
0.904,44.67305586905052,185.2316771919724
0.905,46.121711787924475,184.3086056485137
0.906,47.57373433710537,183.37915987917043
0.907,49.02912803492265,182.44332333525116
0.908,50.487897399707265,181.50107946806412
0.909,51.95004694978957,180.55241172891766
0.91,53.415581203502065,179.59730356912044
0.911,54.88450467917493,178.63573843998
0.912,56.356821895139454,177.667699792805
0.913,57.83253736972547,176.69317107890373
0.914,59.311655621266,175.71213574958443
0.915,60.79418116809086,174.72457725615556
0.916,62.280118528530714,173.7304790499252
0.917,63.769472220917955,172.7298245822022
0.918,65.26224676358257,171.72259730429406
0.919,66.758446674856,170.7087806675094
0.92,68.25807647306817,169.68835812315646
0.921,69.76114067655169,168.6613131225437
0.922,71.26764380363564,167.62762911697945
0.923,72.77759037265345,166.58728955777173
0.924,74.29098490193529,165.540277896229
0.925,75.80783190981174,164.4865775836595
0.926,77.32813591461324,163.42617207137195
0.927,78.85190143467202,162.35904481067385
0.928,80.37913298831877,161.28517925287392
0.929,81.90983509388332,160.20455884928046
0.93,83.44401226969866,159.11716705120176
0.931,84.98166903409502,158.02298730994605
0.932,86.52280990540316,156.92200307682162
0.933,88.06743940195304,155.81419780313726
0.934,89.61556204207808,154.69955494020047
0.935,91.16718234410767,153.57805793931985
0.936,92.72230482637362,152.4496902518037
0.937,94.2809340072053,151.31443532896037
0.938,95.84307440493663,150.17227662209817
0.939,97.408730537896,149.02319758252534
0.94,98.97790692441428,147.86718166155038
0.941,100.55060808282491,146.7042123104812
0.942,102.12683853145752,145.53427298062675
0.943,103.70660278864261,144.3573471232944
0.944,105.2899053727126,143.17341818979293
0.945,106.87675080199736,141.9824696314306
0.946,108.46714359482782,140.78448489951572
0.947,110.06108826953596,139.57944744535658
0.948,111.65858934445211,138.36734072026152
0.949,113.25965133790771,137.14814817553915
0.95,114.86427876823286,135.92185326249702
0.951,116.47247615376,134.68843943244383
0.952,118.08424801281888,133.4478901366878
0.953,119.69959886374082,132.2001888265373
0.954,121.31853322485784,130.94531895330064
0.955,122.94105561449982,129.68326396828607
0.956,124.56717055099807,128.4140073228023
0.957,126.1968825526825,127.13753246815658
0.958,127.83019613788665,125.85382285565852
0.959,129.46711582493998,124.56286193661526
0.96,131.10764613217304,123.26463316233558
0.961,132.75179157791825,121.95911998412774
0.962,134.39955668050587,120.64630585330012
0.963,136.05094595826614,119.32617422116093
0.964,137.70596392953203,117.99870853901844
0.965,139.3646151126328,116.66389225818145
0.966,141.0269040259006,115.32170882995737
0.967,142.69283518766485,113.97214170565495
0.968,144.36241311625827,112.61517433658246
0.969,146.03564233001165,111.25079017404815
0.97,147.71252734725465,109.87897266936032
0.971,149.39307268632007,108.49970527382737
0.972,151.07728286553765,107.11297143875794
0.973,152.76516240323977,105.71875461545947
0.974,154.4567158177543,104.31703825524093
0.975,156.15194762741623,102.90780580941012
0.976,157.85086235055473,101.49104072927561
0.977,159.55346450550064,100.06672646614562
0.978,161.25975861058606,98.6348464713286
0.979,162.96974918414062,97.19538419613268
0.98,164.68344074449553,95.7483230918662
0.981,166.40083780998282,94.29364660983792
0.982,168.12194489893292,92.83133820135525
0.983,169.84676652967732,91.36138131772695
0.984,171.5753072205452,89.88375941026125
0.985,173.3075714898697,88.3984559302665
0.986,175.0435638559815,86.90545432905098
0.987,176.78328883721008,85.40473805792294
0.988,178.52675095188903,83.89629056819119
0.989,180.27395471834762,82.3800953111631
0.99,182.0249046549169,80.85613573814739
0.991,183.77960527992707,79.32439530045238
0.992,185.53806111171093,77.78485744938666
0.993,187.30027666859834,76.23750563625796
0.994,189.0662564689218,74.6823233123748
0.995,190.8360050310112,73.11929392904575
0.996,192.6095268731976,71.54840093757862
0.997,194.38682651381163,69.96962778928196
0.998,196.16790847118546,68.38295793546408
0.999,197.95277726364898,66.78837482743349
1.0,199.74143740953326,65.18586191649797
