depth,blueshift,sigma
0.128,-417.7813611851186,273.6817289288866
0.129,-417.5830420209412,272.7160232910126
0.13,-417.384862451329,271.7567852120179
0.131,-417.1868179579511,270.8039981432107
0.132,-416.9889040224765,269.85764553589934
0.133,-416.79111612657437,268.9177108413922
0.134,-416.5934497519137,267.98417751099737
0.135,-416.39590038016297,267.0570289960233
0.136,-416.19846349299155,266.1362487477783
0.137,-416.00113457206805,265.2218202175706
0.138,-415.80390909906214,264.31372685670846
0.139,-415.60678255564176,263.4119521165003
0.14,-415.409750423477,262.5164794482543
0.141,-415.21280818423656,261.62729230327875
0.142,-415.0159513195888,260.74437413288206
0.143,-414.8191753112036,259.8677083883725
0.144,-414.62247564074914,258.9972785210582
0.145,-414.42584778989476,258.13306798224767
0.146,-414.2292872403093,257.275060223249
0.147,-414.03278947366175,256.4232386953706
0.148,-413.83634997162164,255.57758684992086
0.149,-413.63996421585716,254.7380881382079
0.15,-413.4436276880376,253.90472601154008
0.151,-413.24733586983234,253.0774839212257
0.152,-413.05108424290984,252.25634531857307
0.153,-412.8548682889392,251.44129365489047
0.154,-412.6586834895893,250.63231238148617
0.155,-412.46252532652943,249.8293849496685
0.156,-412.26638928142825,249.03249481074576
0.157,-412.07027083595506,248.24162541602618
0.158,-411.87416547177895,247.4567602168181
0.159,-411.678068670568,246.67788266442983
0.16,-411.4819759139922,245.90497621016962
0.161,-411.28588268372005,245.13802430534585
0.162,-411.0897844614202,244.37701040126672
0.163,-410.89367672876267,243.62191794924055
0.164,-410.6975549674156,242.87273040057565
0.165,-410.5014146590481,242.12943120658036
0.166,-410.30525128532963,241.39200381856287
0.167,-410.10906032792866,240.6604316878315
0.168,-409.9128372685142,239.9346982656946
0.169,-409.7165775887553,239.21478700346043
0.17,-409.5202767703213,238.5006813524373
0.171,-409.32393029488037,237.79236476393348
0.172,-409.1275336441022,237.08982068925732
0.173,-408.9310822996556,236.39303257971704
0.174,-408.73457174320936,235.70198388662095
0.175,-408.53799745643244,235.01665806127738
0.176,-408.3413549209945,234.3370385549946
0.177,-408.1446396185636,233.66310881908097
0.178,-407.94784703080927,232.99485230484467
0.179,-407.7509726394005,232.3322524635941
0.18,-407.5540119260057,231.67529274663744
0.181,-407.35696037229445,231.02395660528305
0.182,-407.15981345993566,230.37822749083927
0.183,-406.9625666705982,229.7380888546143
0.184,-406.7652154859509,229.10352414791652
0.185,-406.56775538766306,228.47451682205414
0.186,-406.3701818574035,227.8510503283355
0.187,-406.172490376841,227.23310811806897
0.188,-405.9746764276449,226.6206736425627
0.189,-405.77673549148403,226.01373035312508
0.19,-405.5786630500272,225.41226170106435
0.191,-405.3804545849438,224.81625113768888
0.192,-405.18210557790246,224.2256821143069
