species,wav_air,excit_pot,vmic,log_gf,rad,stark,waals,lande,depth
OH 1,3005.9213,1.1722,1.0,-2.017,0.0,0.0,0.0,99.0,0.25
Fe 1,3005.973,2.998,1.0,-1.726,7.63,-4.05,-7.29,1.87,0.908
Co 1,3005.9758,2.9275,1.0,-0.74,7.62,-4.84,-7.34,1.46,0.334
OH 1,3006.1752,1.3018,1.0,-1.806,0.0,0.0,0.0,99.0,0.292
V 1,3006.2293,2.0741,1.0,-0.228,7.69,-3.65,-7.26,1.21,0.068
Ca 1,3006.3199,1.8989,1.0,-0.481,7.85,-3.29,-6.94,1.17,0.945
V 1,3006.3522,1.3505,1.0,-0.793,8.1,-6.1,-7.69,0.94,0.09
Ca 1,3006.3706,1.8989,1.0,-1.233,7.85,-3.24,-6.93,1.33,0.901
Ca 1,3006.3968,1.8989,1.0,-2.41,7.85,-3.31,-6.93,2.0,0.471
Fe 1,3006.4476,3.3009,1.0,-2.616,7.67,-3.29,-7.13,1.45,0.465
Cr 1,3006.4567,3.8876,1.0,-0.71,8.52,-2.6,-6.68,1.32,0.107
V 2,3006.4996,2.5562,1.0,-0.834,8.5,-6.49,-7.85,1.17,0.388
Fe 1,3006.5381,3.2657,1.0,-1.67,7.73,-3.37,-7.17,1.58,0.885
Fe 1,3006.541,3.2367,1.0,-1.098,8.26,-4.27,-7.28,1.0,0.931
Ru 1,3006.586,0.3364,1.0,-0.81,0.0,0.0,0.0,1.03,0.052
Fe 1,3006.5968,3.241,1.0,-1.469,7.8,-4.59,-7.26,1.34,0.907
Fe 1,3006.6049,2.5592,1.0,-2.334,7.84,-5.47,-7.54,0.87,0.896
Mn 1,3006.6317,2.1782,1.0,-2.628,6.48,-6.17,-7.78,2.49,0.126
Fe 1,3006.6382,2.6085,1.0,-2.484,7.95,-5.22,-7.58,1.99,0.868
Fe 1,3006.6616,3.283,1.0,-2.6,7.7,-4.4,-7.12,1.87,0.49
Si 1,3006.7385,0.0096,1.0,-5.457,3.31,-6.42,-7.84,2.25,0.949
Ca 1,3006.8614,1.8989,1.0,-0.279,8.19,-4.71,-7.353,1.5,0.952
V 1,3006.8867,2.0975,1.0,-0.213,7.63,-3.91,-7.25,1.32,0.066
V 2,3007.0386,2.5569,1.0,-1.693,8.5,-6.49,-7.85,1.42,0.072
Cr 1,3007.1029,3.8887,1.0,-0.353,8.43,-2.65,-6.68,1.33,0.222
Fe 1,3007.1452,1.4849,1.0,-1.157,7.78,-6.22,-7.8,1.11,0.988
Fe 1,3007.1779,3.2671,1.0,-3.269,6.88,-4.11,-7.1,0.06,0.149
Cr 1,3007.2802,3.8887,1.0,-0.82,8.52,-2.6,-6.68,0.87,0.084
Fe 1,3007.2823,0.0873,1.0,-1.732,6.88,-6.13,-7.663,1.5,0.994
V 2,3007.2997,1.6752,1.0,-1.19,8.57,-6.46,-7.86,2.34,0.687
Fe 1,3007.4665,2.2786,1.0,-4.618,7.73,-4.5,-7.45,1.08,0.065
Fe 1,3007.4841,2.5592,1.0,-2.836,6.51,-5.96,-7.8,1.29,0.776
Mn 1,3007.6528,3.1344,1.0,-0.7,8.06,-6.17,-7.59,0.78,0.663
OH 1,3007.7343,1.3,1.0,-2.116,0.0,0.0,0.0,99.0,0.149
Fe 1,3007.7508,2.5881,1.0,-3.2,8.35,-4.97,-7.5,0.45,0.538
Fe 1,3007.8414,3.0173,1.0,-3.868,7.32,-4.58,-7.26,1.55,0.069
Cr 2,3007.9633,6.1553,1.0,-0.416,8.83,-5.69,-7.415,1.48,0.185
Nd 2,3007.972,1.2512,1.0,0.23,0.0,0.0,0.0,0.23,0.132
Mn 1,3008.0512,3.135,1.0,-2.013,8.06,-6.17,-7.82,2.06,0.064
Zr 2,3008.108,1.236,1.0,-1.2,0.0,0.0,0.0,1.58,0.158
Fe 1,3008.1243,3.2112,1.0,-0.844,7.84,-3.92,-7.15,1.47,0.945
Fe 1,3008.1379,0.1101,1.0,-0.837,8.31,-6.16,-7.694,1.5,0.995
Mo 2,3008.149,2.1504,1.0,-0.663,0.0,0.0,0.0,1.51,0.089
Er 2,3008.191,1.6153,1.0,0.538,0.0,0.0,0.0,0.88,0.1
Mn 1,3008.2593,3.1353,1.0,-0.769,8.06,-6.17,-7.82,0.82,0.621
Ti 2,3008.3115,1.5718,1.0,-1.8,8.32,-6.44,-7.85,1.5,0.844
Cr 1,3008.3236,3.8904,1.0,-0.885,8.43,-2.65,-6.68,1.25,0.073
Cr 2,3008.3263,4.1433,1.0,-1.717,8.32,-6.49,-7.858,0.1,0.42
Fe 1,3008.4813,3.2657,1.0,-1.579,7.74,-3.44,-7.12,1.66,0.895
Fe 1,3008.4939,3.0173,1.0,-2.45,8.19,-4.98,-7.45,1.18,0.742
V 2,3008.5092,2.5444,1.0,-0.846,8.5,-6.49,-7.85,0.54,0.386
V 2,3008.6143,1.6752,1.0,-0.66,8.26,-6.46,-7.87,1.02,0.867
OH 1,3008.6513,1.1755,1.0,-2.047,0.0,0.0,0.0,99.0,0.232
Cr 2,3008.683,4.3836,1.0,-1.796,8.4,-6.46,-7.849,0.52,0.262
Fe 1,3008.694,2.9904,1.0,-2.303,7.68,-5.88,-7.69,0.63,0.814
Fe 1,3008.7454,3.2112,1.0,-3.35,7.69,-4.08,-7.12,1.61,0.14
Fe 1,3008.7656,3.0176,1.0,-3.525,8.19,-4.98,-7.45,1.05,0.143
Ce 2,3008.7862,0.32,1.0,-0.32,0.0,0.0,0.0,1.11,0.219
Fe 1,3008.7974,2.8654,1.0,-3.167,7.33,-4.29,-7.33,1.48,0.38
Mn 1,3008.8247,2.1867,1.0,-2.6,6.48,-6.17,-7.78,0.51,0.123
Ca 1,3009.0501,1.8858,1.0,-1.656,6.7,-2.34,-6.44,1.0,0.849
OH 1,3009.0741,1.3054,1.0,-1.838,0.0,0.0,0.0,99.0,0.272
Ca 1,3009.0908,1.8858,1.0,-2.122,6.72,-2.33,-6.44,1.0,0.665
Fe 1,3009.0931,2.4041,1.0,-0.936,8.02,-5.23,-7.637,1.49,0.973
Sn 1,3009.134,0.2098,1.0,-0.82,0.0,0.0,0.0,1.44,0.505
Fe 2,3009.1452,5.5688,1.0,-2.203,8.61,-6.53,-7.891,1.14,0.134
Cr 1,3009.1509,3.4216,1.0,-0.991,8.09,-5.75,-7.68,0.77,0.146
Fe 1,3009.152,2.998,1.0,-2.932,7.56,-4.34,-7.31,2.26,0.446
Ca 1,3009.2056,1.8989,1.0,-0.764,8.18,-5.85,-7.355,1.5,0.931
OH 1,3009.3538,1.1005,1.0,-2.285,0.0,0.0,0.0,99.0,0.157
Mn 1,3009.3785,3.1325,1.0,-1.998,8.05,-6.17,-7.82,1.95,0.066
Fe 1,3009.4763,2.6085,1.0,-2.961,7.66,-4.53,-7.46,0.58,0.683
Fe 1,3009.5691,0.9146,1.0,-0.758,8.78,-5.8,-7.508,1.34,0.994
Fe 1,3009.6803,3.2918,1.0,-2.148,7.69,-3.52,-7.13,1.77,0.757
Zr 2,3009.848,0.9315,1.0,-1.0,0.0,0.0,0.0,1.67,0.399
Gd 2,3010.13,0.0,1.0,0.19,0.0,0.0,0.0,1.65,0.68
Fe 1,3010.173,2.5592,1.0,-1.223,7.87,-4.29,-7.54,1.21,0.96
Fe 1,3010.1844,2.8512,1.0,-3.01,7.33,-4.35,-7.34,1.46,0.498
Fe 2,3010.216,5.8232,1.0,-1.57,8.85,-5.71,-7.419,1.88,0.288
Cr 1,3010.2276,2.9151,1.0,-1.981,7.51,-6.06,-7.79,1.48,0.055
