species,wav_air,excit_pot,vmic,log_gf,rad,stark,waals,lande,depth
Fe 1,3641.4476,2.882,1.0,-2.29,8.18,-5.31,-7.252,1.65,0.762
Cr 1,3641.465,2.5443,1.0,-0.606,8.36,-5.14,-7.63,1.14,0.718
Nd 2,3641.496,1.7115,1.0,0.53,0.0,0.0,0.0,0.53,0.096
Ni 1,3641.6385,0.2748,1.0,-3.71,7.44,-6.19,-7.707,1.75,0.845
Co 1,3641.6715,1.7104,1.0,-2.619,6.13,-6.22,-7.81,1.03,0.084
Co 1,3641.7857,2.0421,1.0,-1.069,8.07,-5.96,-7.79,1.33,0.626
Cr 1,3641.827,2.5446,1.0,0.118,8.36,-5.14,-7.63,0.78,0.842
CH 1,3642.278,0.0332,1.0,-2.093,6.4,0.0,0.0,99.0,0.155
Ni 1,3642.3905,1.9859,1.0,-2.525,7.21,-6.24,-7.8,1.39,0.672
Fe 1,3642.4377,3.9433,1.0,-1.181,7.77,-3.39,-7.14,1.27,0.759
Fe 1,3642.5041,3.283,1.0,-2.396,8.05,-4.04,-7.52,1.11,0.557
Ti 1,3642.6731,0.0211,1.0,0.21,8.25,-5.99,-7.612,1.0,0.951
CH 1,3642.694,0.0336,1.0,-1.988,6.4,0.0,0.0,99.0,0.191
Sc 2,3642.784,0.0,1.0,0.133,8.27,-6.31,-7.85,0.76,0.965
Fe 1,3642.8694,2.4254,1.0,-4.138,7.79,-5.33,-7.55,0.98,0.13
CH 1,3642.959,0.0091,1.0,-2.42,6.4,0.0,0.0,99.0,0.084
Co 1,3643.182,2.0421,1.0,-0.61,8.03,-6.05,-7.79,1.11,0.79
Cr 2,3643.2049,2.4827,1.0,-2.479,8.37,-6.47,-7.861,1.4,0.719
Fe 1,3643.2974,3.8835,1.0,-2.675,7.37,-3.82,-7.14,1.42,0.141
Fe 1,3643.6229,2.9398,1.0,-0.563,8.32,-5.1,-7.54,2.12,0.926
Fe 1,3643.7149,2.6085,1.0,-1.439,7.01,-6.16,-7.82,0.51,0.898
Fe 1,3643.7931,3.2515,1.0,-1.182,8.0,-4.64,-7.51,1.27,0.858
Fe 1,3643.8125,1.6079,1.0,-3.043,8.65,-5.89,-7.71,0.26,0.86
V 1,3643.8542,1.7996,1.0,-0.431,8.14,-5.58,-7.73,0.74,0.075
Dy 2,3643.92,0.0,1.0,-1.34,0.0,0.0,0.0,1.22,0.061
Ni 1,3643.9423,3.6785,1.0,-0.791,8.11,-4.81,-7.44,1.2,0.675
Hf 2,3644.35,0.7866,1.0,-0.62,0.0,0.0,0.0,1.24,0.125
Ca 1,3644.4129,1.8989,1.0,-0.544,7.45,-4.08,-7.25,1.17,0.884
Fe 1,3644.5834,2.5881,1.0,-2.45,8.4,-5.75,-7.596,0.88,0.793
CH 1,3644.627,0.1548,1.0,-2.03,6.4,0.0,0.0,99.0,0.137
Ti 1,3644.6848,2.0406,1.0,-0.918,8.02,-4.58,-7.54,1.3,0.133
Cr 2,3644.6898,2.4546,1.0,-2.501,8.36,-6.47,-7.863,1.39,0.72
V 1,3644.7111,1.3763,1.0,-1.02,6.9,-6.16,-7.78,1.06,0.05
Cr 1,3644.7455,4.186,1.0,-0.639,8.21,-5.91,-7.72,1.05,0.062
Ca 1,3644.7678,1.8989,1.0,-1.298,7.45,-4.09,-7.25,1.33,0.814
Fe 1,3644.7946,3.241,1.0,-1.11,8.04,-4.57,-7.196,1.6,0.865
CH 1,3644.853,0.155,1.0,-1.989,6.4,0.0,0.0,99.0,0.15
Ca 1,3644.9956,1.8989,1.0,-2.472,7.45,-4.09,-7.25,2.0,0.386
Co 1,3645.0035,2.8745,1.0,-0.476,7.76,-5.43,-7.75,1.58,0.488
Fe 1,3645.0596,3.6398,1.0,-1.729,8.2,-5.2,-7.69,1.0,0.696
Fe 1,3645.0748,2.8512,1.0,-1.283,8.23,-5.17,-7.55,1.5,0.888
Fe 1,3645.0952,3.0173,1.0,-3.057,7.41,-6.15,-7.81,1.18,0.329
Co 1,3645.1875,1.9557,1.0,-2.55,8.82,-5.82,-7.68,0.03,0.055
Sm 2,3645.29,0.1846,1.0,-0.75,0.0,0.0,0.0,0.98,0.105
Sc 2,3645.311,0.022,1.0,-0.418,8.27,-6.31,-7.85,1.21,0.944
Sm 2,3645.39,0.3334,1.0,-0.83,0.0,0.0,0.0,0.73,0.062
Dy 2,3645.4,0.1027,1.0,0.34,0.0,0.0,0.0,1.36,0.737
La 2,3645.41,0.0,1.0,-0.59,0.0,0.0,0.0,0.64,0.452
Co 1,3645.4416,2.0802,1.0,-1.571,8.42,-5.86,-7.76,1.12,0.312
Fe 1,3645.4743,2.8654,1.0,-1.624,8.27,-5.78,-7.54,1.56,0.858
Fe 1,3645.4941,3.0176,1.0,-1.711,7.41,-6.15,-7.81,0.64,0.831
Fe 1,3645.5031,2.998,1.0,-1.007,7.98,-4.3,-7.5,1.6,0.896
Fe 1,3645.5167,3.6025,1.0,-3.071,7.64,-4.18,-7.33,1.8,0.109
Gd 2,3645.618,0.4249,1.0,-0.38,0.0,0.0,0.0,1.63,0.128
Nd 2,3645.78,0.0636,1.0,-1.15,0.0,0.0,0.0,0.94,0.083
Fe 1,3645.8199,3.111,1.0,-0.536,8.23,-6.07,-7.655,0.7,0.917
V 2,3645.9207,2.3763,1.0,-1.486,8.24,-6.47,-7.87,1.4,0.141
Er 2,3645.936,1.6153,1.0,0.855,0.0,0.0,0.0,1.0,0.179
Fe 1,3646.0947,3.3009,1.0,-3.323,7.73,-4.56,-7.54,1.17,0.118
Fe 1,3646.0988,2.8755,1.0,-3.85,8.18,-5.11,-7.54,1.87,0.094
Gd 2,3646.195,0.2399,1.0,0.32,0.0,0.0,0.0,1.65,0.555
Ti 1,3646.1962,0.0,1.0,-1.62,7.02,-6.11,-7.734,0.92,0.781
Cr 1,3646.3755,3.8876,1.0,-0.851,8.12,-5.28,-7.56,1.13,0.072
CH 1,3646.503,0.0508,1.0,-1.985,6.4,0.0,0.0,99.0,0.185
CH 1,3646.836,0.0511,1.0,-1.901,6.4,0.0,0.0,99.0,0.218
Ce 2,3646.962,0.2954,1.0,-0.62,0.0,0.0,0.0,1.02,0.122
Fe 1,3646.9804,3.9433,1.0,-0.792,7.69,-3.57,-7.14,2.24,0.818
Fe 1,3647.0633,3.6416,1.0,-3.002,8.2,-5.2,-7.69,1.2,0.116
Co 1,3647.0851,2.3278,1.0,-0.467,8.05,-6.11,-7.79,1.35,0.75
Cr 2,3647.3733,2.434,1.0,-2.7,8.36,-6.47,-7.863,1.41,0.661
Co 1,3647.3849,2.8745,1.0,-1.258,7.5,-5.44,-7.76,1.1,0.127
Fe 1,3647.4081,1.5574,1.0,-4.589,8.65,-5.89,-7.71,1.3,0.285
Fe 1,3647.4236,3.0713,1.0,-0.694,8.18,-6.27,-7.74,1.13,0.91
Fe 1,3647.5564,3.2657,1.0,-1.936,8.04,-4.38,-7.51,1.01,0.749
Cr 1,3647.5871,3.8887,1.0,-0.637,8.12,-5.28,-7.56,1.25,0.113
Co 1,3647.6622,0.2243,1.0,-1.91,7.2,-6.23,-7.777,1.51,0.89
CH 1,3647.674,0.019,1.0,-2.515,6.4,0.0,0.0,99.0,0.065
Ce 2,3647.7504,0.9327,1.0,-0.01,0.0,0.0,0.0,1.19,0.117
Fe 1,3647.8422,0.9146,1.0,-0.194,8.01,-6.08,-7.679,0.95,0.983
Fe 1,3647.8426,3.241,1.0,-1.491,8.05,-4.45,-7.51,0.89,0.827
Cr 1,3647.9291,4.1055,1.0,-0.428,8.29,-5.19,-7.62,1.47,0.113
Ce 2,3647.943,1.0418,1.0,-0.24,0.0,0.0,0.0,0.95,0.055
Fe 1,3647.9825,3.9841,1.0,-1.152,7.72,-3.65,-7.12,1.88,0.755
Co 1,3648.1377,2.8774,1.0,-1.134,7.76,-5.43,-7.75,0.85,0.162
Nd 2,3648.177,1.3614,1.0,0.58,0.0,0.0,0.0,0.82,0.205
Fe 1,3648.2223,3.8816,1.0,-1.427,8.12,-3.81,-7.37,1.24,0.712
CH 1,3648.24,0.0195,1.0,-2.312,6.4,0.0,0.0,99.0,0.1
Ni 1,3648.2546,3.941,1.0,-1.659,8.26,-4.55,-7.51,0.81,0.146
Ni 1,3648.3101,3.5421,1.0,-1.579,8.15,-4.23,-7.15,1.18,0.338
Fe 1,3648.3436,3.274,1.0,-2.059,8.22,-5.63,-7.73,1.07,0.711
Cr 1,3648.53,2.5438,1.0,-0.737,8.31,-5.11,-7.62,0.71,0.669
Fe 1,3648.7069,3.9433,1.0,-0.26,7.9,-3.77,-7.22,1.7,0.868
Dy 2,3648.785,1.6625,1.0,0.823,0.0,0.0,0.0,1.35,0.184
Ti 2,3648.8145,1.5658,1.0,-2.36,8.45,-6.56,-7.83,1.39,0.531
Ti 2,3648.9196,1.5718,1.0,-3.064,8.42,-6.48,-7.83,0.48,0.176
Cr 1,3648.993,2.5443,1.0,-0.008,8.31,-5.11,-7.62,0.82,0.827
Ti 2,3649.0033,0.5739,1.0,-3.385,8.17,-6.39,-7.85,1.03,0.509
Fe 1,3649.3025,0.0,1.0,-3.201,7.25,-6.15,-7.76,1.88,0.967
Fe 1,3649.3332,3.0469,1.0,-1.737,8.1,-5.66,-7.7,0.54,0.823
Co 1,3649.3351,2.8745,1.0,-0.179,7.88,-5.25,-7.7,1.05,0.647
Gd 2,3649.439,1.1719,1.0,-0.047,0.0,0.0,0.0,1.46,0.051
Sm 2,3649.5,0.3785,1.0,-0.61,0.0,0.0,0.0,0.73,0.093
Fe 1,3649.5059,2.6924,1.0,-0.15,7.89,-6.22,-7.673,1.23,0.954
Fe 1,3649.6878,3.9433,1.0,-1.804,7.65,-3.95,-7.28,1.18,0.522
Fe 1,3649.8298,3.9286,1.0,-0.92,8.12,-4.56,-7.5,0.82,0.803
Ni 1,3649.9186,3.6353,1.0,-2.291,8.23,-4.72,-7.49,0.68,0.071
Fe 1,3649.9312,3.3014,1.0,-2.61,7.78,-4.72,-7.49,1.0,0.422
Fe 1,3650.0294,2.998,1.0,-0.5,8.32,-5.22,-7.202,1.91,0.925
Fe 1,3650.0977,3.9841,1.0,0.069,8.19,-4.56,-7.32,1.57,0.889
Ce 2,3650.1396,0.3218,1.0,-0.94,0.0,0.0,0.0,0.64,0.055
La 2,3650.18,0.0,1.0,-1.17,0.0,0.0,0.0,0.94,0.162
Fe 1,3650.2695,3.8835,1.0,-1.017,8.14,-3.81,-7.37,1.29,0.797
Fe 1,3650.2787,2.4327,1.0,-0.869,7.55,-5.75,-7.82,1.05,0.94
Cr 2,3650.3566,4.9844,1.0,-0.861,8.36,-6.48,-7.855,1.08,0.367
Nd 2,3650.4,0.2046,1.0,-1.13,0.0,0.0,0.0,0.25,0.061
Er 2,3650.408,0.67,1.0,-0.6,0.0,0.0,0.0,1.1,0.056
Tb 2,3650.41,0.4244,1.0,0.43,0.0,0.0,0.0,99.0,0.115
Fe 1,3650.4189,3.9841,1.0,-0.75,7.73,-4.05,-7.14,2.45,0.817
Ni 1,3650.479,3.7963,1.0,-1.857,8.34,-4.61,-7.43,0.87,0.128
Co 1,3650.5233,2.8774,1.0,-1.647,7.5,-5.44,-7.76,1.48,0.06
Fe 1,3650.5349,3.2515,1.0,-1.303,7.95,-4.72,-7.45,1.52,0.859
Gd 2,3650.952,1.1566,1.0,0.099,0.0,0.0,0.0,1.46,0.084
Cr 1,3650.9705,0.0,1.0,-2.386,5.75,-6.17,-7.82,2.01,0.893
Fe 1,3651.0339,3.2112,1.0,-2.25,8.03,-5.28,-7.51,0.66,0.689
Fe 1,3651.096,2.8512,1.0,-1.77,8.37,-4.99,-7.54,1.54,0.857
Fe 1,3651.1295,3.3009,1.0,-3.593,8.33,-4.86,-7.51,2.13,0.072
Nb 2,3651.182,0.9306,1.0,-0.48,0.0,0.0,0.0,0.86,0.122
Fe 1,3651.1888,4.0758,1.0,-1.497,8.79,-5.38,-7.63,1.02,0.638
Co 1,3651.2528,2.0418,1.0,-1.376,8.4,-5.84,-7.76,0.96,0.466
Fe 1,3651.4666,2.7586,1.0,0.021,8.0,-6.14,-7.664,1.15,0.96
Zr 2,3651.503,1.7728,1.0,-1.1,0.0,0.0,0.0,1.47,0.067
Nd 2,3651.581,1.5201,1.0,0.48,0.0,0.0,0.0,1.49,0.135
CH 1,3651.629,0.0718,1.0,-1.899,6.4,0.0,0.0,99.0,0.221
Fe 1,3651.6462,3.3014,1.0,-3.669,8.33,-4.86,-7.51,-0.45,0.06
CH 1,3651.657,0.1893,1.0,-1.98,6.4,0.0,0.0,99.0,0.151
Cr 2,3651.6714,2.4212,1.0,-3.07,8.36,-6.47,-7.863,1.41,0.529
Sc 2,3651.795,0.0084,1.0,-0.532,8.27,-6.31,-7.85,0.92,0.944
CH 1,3651.834,0.1894,1.0,-1.942,6.4,0.0,0.0,99.0,0.163
CH 1,3651.904,0.072,1.0,-1.828,6.4,0.0,0.0,99.0,0.251
Fe 1,3651.9172,3.8816,1.0,-1.07,8.17,-4.38,-7.4,1.32,0.807
Fe 1,3651.9647,3.2918,1.0,-2.973,8.04,-4.04,-7.52,0.73,0.256
Fe 1,3652.0893,3.6537,1.0,-3.07,7.83,-4.04,-7.29,1.88,0.107
Nd 2,3652.463,1.2466,1.0,0.02,0.0,0.0,0.0,0.68,0.089
Co 1,3652.5434,0.1744,1.0,-1.86,7.22,-6.23,-7.783,1.52,0.908
Gd 2,3652.546,0.9909,1.0,-0.16,0.0,0.0,0.0,1.52,0.067
Fe 1,3652.656,3.0176,1.0,-2.016,7.99,-5.22,-7.77,0.5,0.805
Ti 1,3652.8444,2.2968,1.0,-1.06,7.74,-4.67,-7.32,0.96,0.061
Nd 2,3653.052,1.1714,1.0,0.47,0.0,0.0,0.0,0.52,0.252
Ce 2,3653.104,0.357,1.0,-0.49,0.0,0.0,0.0,0.89,0.149
Fe 1,3653.3468,2.5881,1.0,-2.695,8.07,-5.59,-7.77,0.88,0.756
Fe 1,3653.349,2.8654,1.0,-2.394,8.21,-5.45,-7.55,1.69,0.759
Ti 1,3653.4943,0.048,1.0,0.28,8.22,-6.0,-7.609,1.13,0.956
Fe 1,3653.5004,3.9597,1.0,-1.356,8.14,-4.12,-7.47,1.08,0.733
Ce 2,3653.664,0.4704,1.0,-0.2,0.0,0.0,0.0,1.17,0.209
Fe 1,3653.7542,2.4327,1.0,-1.798,7.42,-5.88,-7.696,1.6,0.895
Cr 1,3653.9063,2.5438,1.0,-0.164,8.27,-5.09,-7.61,0.56,0.824
CH 1,3653.945,0.0331,1.0,-2.366,6.4,0.0,0.0,99.0,0.093
Fe 1,3653.9686,3.8835,1.0,-0.518,8.18,-4.38,-7.4,1.26,0.864
Cu 1,3654.23,3.7859,1.0,-1.18,0.0,0.0,0.0,99.0,0.088
Cu 1,3654.2334,3.7859,1.0,-1.009,8.24,-2.98,-7.09,0.83,0.127
Mn 1,3654.2699,4.6656,1.0,-0.418,8.21,-4.43,-7.69,1.06,0.09
Mn 1,3654.2841,4.4294,1.0,-0.698,8.85,-5.36,-7.63,1.51,0.078
CH 1,3654.381,0.0335,1.0,-2.225,6.4,0.0,0.0,99.0,0.126
Fe 1,3654.4314,3.0173,1.0,-3.971,8.05,-5.0,-7.49,1.77,0.056
Co 1,3654.441,1.9557,1.0,-1.615,7.87,-6.13,-7.8,1.66,0.375
Ti 1,3654.5895,0.0,1.0,-1.26,7.05,-6.11,-7.734,0.74,0.859
Gd 2,3654.624,0.0785,1.0,-0.08,0.0,0.0,0.0,1.71,0.43
Fe 1,3654.6709,2.2227,1.0,-2.85,7.81,-5.96,-7.81,0.55,0.809
Cr 1,3654.6941,4.1055,1.0,-0.488,8.56,-5.3,-7.59,1.1,0.111
Tb 2,3654.86,0.4392,1.0,0.08,0.0,0.0,0.0,99.0,0.055
Ce 2,3654.934,0.3275,1.0,-0.82,0.0,0.0,0.0,0.82,0.078
Fe 1,3654.9972,3.3009,1.0,-1.675,7.82,-5.13,-7.7,1.02,0.81
Fe 1,3655.0527,3.283,1.0,-3.517,8.03,-4.37,-7.52,1.39,0.087
Co 1,3655.3094,3.6321,1.0,-0.729,7.88,-4.15,-7.27,1.41,0.089
Fe 1,3655.3444,3.9286,1.0,-2.131,8.83,-5.64,-7.81,1.73,0.368
Ce 2,3655.3478,0.3267,1.0,-0.92,0.0,0.0,0.0,1.1,0.062
Fe 1,3655.3521,2.4242,1.0,-3.145,8.1,-6.09,-7.76,1.55,0.641
Fe 1,3655.4647,2.8316,1.0,-0.927,7.97,-6.03,-7.684,1.48,0.92
Zr 2,3655.546,0.9718,1.0,-1.542,0.0,0.0,0.0,1.5,0.135
Ce 2,3655.844,0.3178,1.0,-0.05,0.0,0.0,0.0,0.73,0.361
Cr 1,3655.8592,2.5443,1.0,-2.326,8.34,-5.33,-7.67,2.36,0.05
Fe 1,3655.9503,4.1426,1.0,-2.651,8.54,-5.36,-7.63,0.41,0.094
Gd 2,3656.152,0.1437,1.0,-0.02,0.0,0.0,0.0,1.75,0.426
Fe 1,3656.2095,3.274,1.0,-0.76,7.84,-5.01,-7.56,0.72,0.899
Cr 1,3656.224,2.5446,1.0,-0.88,8.34,-5.33,-7.67,1.32,0.63
Cr 1,3656.26,2.5446,1.0,0.009,8.34,-5.33,-7.67,0.75,0.843
Fe 1,3656.349,2.8755,1.0,-2.103,8.27,-5.78,-7.54,1.73,0.815
Ni 1,3656.5361,3.6552,1.0,-1.952,8.48,-5.2,-7.53,0.81,0.153
Co 2,3656.742,2.7288,1.0,-1.15,8.59,-6.56,-7.89,1.09,0.64
Ce 2,3656.7523,0.823,1.0,-0.49,0.0,0.0,0.0,1.27,0.054
Fe 1,3656.7923,3.0713,1.0,-3.741,7.99,-4.25,-7.52,2.05,0.083
Co 1,3656.964,0.5815,1.0,-2.4,7.9,-6.18,-7.689,1.86,0.729
Fe 1,3657.1326,2.4242,1.0,-1.913,8.02,-6.06,-7.622,1.14,0.887
Ru 2,3657.579,2.4027,1.0,0.0,0.0,0.0,0.0,1.49,0.069
Ni 1,3657.6969,3.941,1.0,-2.049,7.86,-3.59,-7.17,0.44,0.068
CH 1,3657.71,0.0962,1.0,-1.827,6.4,0.0,0.0,99.0,0.24
Mn 1,3657.8929,4.2327,1.0,-0.88,7.88,-6.18,-7.687,1.42,0.079
Fe 1,3657.8977,3.0385,1.0,-1.343,7.96,-6.05,-7.184,0.99,0.876
Co 1,3657.9185,2.6304,1.0,-1.483,8.14,-5.54,-7.77,1.14,0.14
CH 1,3657.943,0.0964,1.0,-1.766,6.4,0.0,0.0,99.0,0.267
Rh 1,3657.985,0.1897,1.0,0.03,0.0,0.0,0.0,1.1,0.174
Fe 1,3658.0185,3.0176,1.0,-1.993,7.85,-6.12,-7.8,1.53,0.808
Ti 1,3658.0948,0.0211,1.0,-1.04,8.26,-5.98,-7.615,0.92,0.879
Fe 1,3658.1363,3.9433,1.0,-0.795,7.75,-3.92,-7.15,1.96,0.832
Cr 2,3658.1602,4.9274,1.0,-2.035,8.39,-6.53,-7.787,0.91,0.056
Cr 2,3658.1616,4.9202,1.0,-1.453,8.41,-6.5,-7.865,0.6,0.187
V 2,3658.2673,2.5144,1.0,-1.696,8.28,-6.45,-7.87,1.43,0.075
Fe 1,3658.5465,2.5592,1.0,-2.5,8.6,-5.56,-7.64,0.62,0.806
Tb 2,3658.89,0.126,1.0,-0.01,0.0,0.0,0.0,99.0,0.089
Ni 1,3659.1997,3.6552,1.0,-1.597,8.29,-4.8,-7.51,0.98,0.296
Ce 2,3659.225,0.1749,1.0,-0.67,0.0,0.0,0.0,0.39,0.147
Fe 1,3659.5164,2.4534,1.0,-0.943,7.51,-5.99,-7.693,0.85,0.941
Ti 2,3659.6439,4.8945,1.0,-0.58,8.82,-5.71,-7.7,0.91,0.058
Fe 1,3659.7333,3.274,1.0,-2.448,6.55,-5.69,-7.79,1.12,0.559
Ti 2,3659.7605,1.5818,1.0,-0.54,8.42,-6.48,-7.83,1.1,0.918
Nd 2,3659.954,0.1823,1.0,-1.04,0.0,0.0,0.0,0.73,0.083
Ce 2,3659.97,0.1749,1.0,-0.73,0.0,0.0,0.0,0.93,0.131
Fe 1,3660.325,2.8654,1.0,-2.124,8.23,-5.17,-7.55,1.52,0.813
Mn 1,3660.4005,4.6395,1.0,0.41,8.37,-6.02,-7.631,1.16,0.418
Fe 1,3660.4026,2.6085,1.0,-2.918,8.09,-5.91,-7.77,0.88,0.661
CH 1,3660.445,0.227,1.0,-1.935,6.4,0.0,0.0,99.0,0.151
CH 1,3660.499,0.2271,1.0,-1.9,6.4,0.0,0.0,99.0,0.163
Ti 1,3660.6286,0.0211,1.0,-1.38,6.97,-6.11,-7.733,1.22,0.839
Ce 2,3660.638,0.1224,1.0,-0.5,0.0,0.0,0.0,1.02,0.228
Fe 1,3660.6392,4.1864,1.0,-2.412,8.23,-2.91,-7.06,0.5,0.144
Co 1,3660.6972,1.7104,1.0,-2.616,6.27,-6.22,-7.81,1.73,0.087
Fe 1,3660.7718,3.8816,1.0,-1.063,8.01,-4.14,-7.38,0.86,0.807
Zr 2,3660.921,0.7578,1.0,-1.0,0.0,0.0,0.0,1.11,0.491
CH 1,3661.027,0.0506,1.0,-2.26,6.4,0.0,0.0,99.0,0.114
Fe 1,3661.2523,3.6946,1.0,-2.579,7.92,-6.12,-7.79,0.54,0.257
Zr 2,3661.314,1.756,1.0,-0.8,0.0,0.0,0.0,1.5,0.133
Sm 2,3661.35,0.0405,1.0,-0.36,0.0,0.0,0.0,0.56,0.308
Ru 1,3661.362,0.1476,1.0,-0.04,0.0,0.0,0.0,0.99,0.379
Fe 1,3661.3622,2.4534,1.0,-2.45,7.62,-6.07,-7.715,0.29,0.831
V 2,3661.3704,3.3277,1.0,-0.245,8.23,-6.66,-7.87,1.04,0.296
CH 1,3661.385,0.0509,1.0,-2.151,6.4,0.0,0.0,99.0,0.141
Ni 1,3661.9446,0.2124,1.0,-2.937,5.41,-6.28,-7.83,0.3,0.93
La 2,3662.08,0.126,1.0,-0.73,0.0,0.0,0.0,1.2,0.316
Fe 1,3662.1172,4.0758,1.0,-2.39,8.47,-4.81,-7.4,1.66,0.181
Zr 2,3662.127,1.6649,1.0,-0.54,0.0,0.0,0.0,0.83,0.256
Co 1,3662.1588,2.28,1.0,-0.097,8.09,-6.05,-7.78,1.16,0.842
Nd 2,3662.224,1.7729,1.0,1.12,0.0,0.0,0.0,1.07,0.284
Ti 2,3662.2324,1.5658,1.0,-0.54,8.35,-6.48,-7.84,1.1,0.919
Gd 2,3662.264,0.0,1.0,-0.53,0.0,0.0,0.0,2.46,0.229
Cr 1,3662.3682,2.5438,1.0,-2.302,8.3,-5.32,-7.66,2.69,0.055
Fe 1,3662.3794,3.6864,1.0,-3.342,7.83,-4.13,-7.29,1.4,0.054
Cr 2,3662.6126,2.4212,1.0,-3.775,8.35,-6.47,-7.863,-0.34,0.179
Fe 1,3662.734,3.0173,1.0,-3.173,7.73,-4.42,-7.45,1.48,0.286
Fe 1,3662.8331,3.8835,1.0,-0.422,8.02,-4.14,-7.38,1.42,0.871
Cr 1,3662.836,2.5443,1.0,-0.962,8.3,-5.32,-7.66,1.23,0.588
Fe 1,3662.8364,3.9286,1.0,-0.618,8.23,-4.41,-7.45,1.41,0.85
Fe 1,3662.8985,2.9488,1.0,-3.464,7.63,-4.36,-7.45,0.63,0.189
Cr 1,3663.201,2.5446,1.0,-0.363,8.3,-5.32,-7.66,0.53,0.793
Fe 1,3663.2485,3.274,1.0,-2.66,6.64,-6.0,-7.8,0.38,0.433
Fe 1,3663.2615,2.9904,1.0,-1.519,7.17,-6.29,-7.8,1.0,0.865
Ni 1,3663.3453,3.7434,1.0,-2.227,8.17,-4.11,-7.16,0.52,0.071
Fe 1,3663.3984,3.3009,1.0,-1.76,7.81,-4.17,-7.53,1.21,0.796
Fe 1,3663.4415,2.5881,1.0,-3.92,8.37,-5.75,-7.7,0.41,0.154
Fe 1,3663.4514,2.5592,1.0,-1.701,7.91,-5.71,-7.78,1.25,0.891
V 1,3663.5915,2.0286,1.0,0.26,8.34,-4.73,-7.27,0.67,0.202
Zr 1,3663.65,0.1538,1.0,0.01,0.0,0.0,0.0,1.19,0.268
Ni 1,3663.9078,3.6552,1.0,-1.899,8.29,-5.41,-7.54,1.26,0.169
Fe 1,3663.9605,2.9488,1.0,-1.895,7.14,-6.14,-7.8,1.12,0.831
Fe 1,3663.9967,3.8816,1.0,-3.029,7.61,-3.62,-7.28,1.34,0.071
Ni 1,3664.0914,0.2748,1.0,-2.14,8.11,-6.13,-7.71,0.29,0.961
Fe 1,3664.1133,3.8816,1.0,-1.331,7.6,-3.51,-7.28,1.61,0.759
Fe 1,3664.2007,3.0173,1.0,-3.726,7.73,-4.5,-7.45,1.1,0.097
Sc 2,3664.245,0.315,1.0,-2.413,8.18,-6.31,-7.86,1.25,0.383
Fe 1,3664.5368,2.998,1.0,-1.071,8.02,-5.52,-7.208,0.53,0.899
Fe 1,3664.5376,3.6025,1.0,-2.316,7.64,-4.29,-7.33,1.55,0.448
Gd 2,3664.608,0.9909,1.0,0.62,0.0,0.0,0.0,1.24,0.315
Y 2,3664.6107,0.1797,1.0,-0.43,8.46,-6.23,-7.76,1.5,0.888
Dy 2,3664.614,1.4631,1.0,0.462,0.0,0.0,0.0,0.19,0.143
Fe 1,3664.6913,2.998,1.0,-1.906,8.34,-5.21,-7.208,1.58,0.823
Fe 1,3664.7258,3.9286,1.0,-0.82,8.16,-4.71,-7.47,0.89,0.83
CH 1,3664.813,0.1241,1.0,-1.765,6.4,0.0,0.0,99.0,0.256
Cr 2,3664.9409,4.9877,1.0,-0.968,8.36,-6.48,-7.855,0.92,0.361
Ce 2,3664.9468,1.0267,1.0,-0.18,0.0,0.0,0.0,1.21,0.071
CH 1,3665.022,0.1242,1.0,-1.711,6.4,0.0,0.0,99.0,0.281
V 1,3665.1478,2.0741,1.0,-0.206,8.29,-4.14,-7.54,1.24,0.071
Nd 2,3665.18,0.2046,1.0,-0.66,0.0,0.0,0.0,0.82,0.179
Cr 1,3665.429,2.5441,1.0,-2.331,6.66,-6.01,-7.81,2.25,0.05
Cr 2,3665.9878,4.9274,1.0,-0.67,8.41,-6.57,-7.786,1.0,0.516
Cr 1,3666.169,2.5438,1.0,-1.536,8.29,-5.39,-7.68,0.88,0.264
Fe 1,3666.2415,2.9398,1.0,-1.154,8.07,-4.89,-7.55,1.49,0.898
Fe 1,3666.2862,3.3009,1.0,-1.597,7.84,-5.47,-7.54,1.77,0.82
Fe 1,3666.509,3.6537,1.0,-2.733,7.62,-4.31,-7.33,2.08,0.205
Sc 2,3666.534,0.022,1.0,-1.793,8.27,-6.31,-7.85,1.99,0.818
Fe 1,3666.5733,2.6085,1.0,-3.871,8.4,-5.75,-7.7,0.96,0.162
Cr 1,3666.635,2.5443,1.0,-0.923,8.29,-5.39,-7.68,0.47,0.607
Cr 1,3666.635,4.099,1.0,-0.819,8.0,-4.75,-7.44,1.16,0.054
Fe 1,3666.7628,3.4149,1.0,-1.858,7.87,-4.93,-7.47,0.74,0.748
Fe 1,3666.8072,3.3014,1.0,-1.789,7.84,-5.47,-7.54,-0.19,0.79
Fe 1,3666.8444,3.0385,1.0,-3.687,7.97,-5.33,-7.53,0.65,0.1
Fe 1,3666.94,1.6079,1.0,-3.24,8.65,-5.89,-7.514,1.09,0.848
Fe 1,3666.9792,2.9904,1.0,-3.461,7.65,-4.67,-7.45,1.2,0.175
Zr 2,3667.062,0.4091,1.0,-2.15,0.0,0.0,0.0,1.18,0.119
Fe 1,3667.2528,3.2112,1.0,-0.71,8.05,-4.69,-7.223,1.37,0.906
Fe 1,3667.4185,3.2671,1.0,-2.139,7.95,-4.72,-7.45,0.28,0.708
